model,qid,category,recall@5,recall@10,recall@20,mrr,ndcg@10
vietnamese-sbert,RQ-033,compound_action,0.0,0.0,0.5,0.0625,0.0
vietnamese-sbert,RQ-034,compound_action,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-035,compound_action,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-036,vehicle_binding,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-037,vehicle_binding,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-038,vehicle_binding,1.0,1.0,1.0,1.0,1.5
vietnamese-sbert,RQ-039,vehicle_binding,1.0,1.0,1.0,1.0,3.496387907565243
vietnamese-sbert,RQ-040,vehicle_binding,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-001,simple_penalty,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-002,simple_penalty,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-003,simple_penalty,0.0,0.0,1.0,0.05263157894736842,0.0
multilingual-mpnet,RQ-004,simple_penalty,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-005,simple_penalty,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-006,multi_intent,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-007,multi_intent,0.5,1.0,1.0,0.3333333333333333,0.7478810057393678
multilingual-mpnet,RQ-008,multi_intent,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-009,multi_intent,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-010,multi_intent,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-011,cross_reference,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-012,cross_reference,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-013,cross_reference,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-014,cross_reference,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-015,cross_reference,1.0,1.0,1.0,1.0,1.0
multilingual-mpnet,RQ-016,procedure,1.0,1.0,1.0,0.5,0.6309297535714575
multilingual-mpnet,RQ-017,procedure,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-018,procedure,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-019,procedure,1.0,1.0,1.0,1.0,1.0
multilingual-mpnet,RQ-020,procedure,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-026,ambiguous_short,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-027,ambiguous_short,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-028,ambiguous_short,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16716045496620227
multilingual-mpnet,RQ-029,ambiguous_short,0.5,0.5,0.5,1.0,0.6131471927654584
multilingual-mpnet,RQ-030,ambiguous_short,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-031,compound_action,1.0,1.0,1.0,0.3333333333333333,0.9306765580733931
multilingual-mpnet,RQ-032,compound_action,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-033,compound_action,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-034,compound_action,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-035,compound_action,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-036,vehicle_binding,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-037,vehicle_binding,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-038,vehicle_binding,0.0,0.0,0.0,0.0,0.0
multilingual-mpnet,RQ-039,vehicle_binding,1.0,1.0,1.0,0.5,2.4211611784371243
multilingual-mpnet,RQ-040,vehicle_binding,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-001,simple_penalty,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-002,simple_penalty,0.0,0.0,1.0,0.09090909090909091,0.0
multilingual-e5-small,RQ-003,simple_penalty,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-004,simple_penalty,0.0,1.0,1.0,0.1,0.2890648263178879
multilingual-e5-small,RQ-005,simple_penalty,1.0,1.0,1.0,1.0,1.1042964859277558
multilingual-e5-small,RQ-006,multi_intent,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-007,multi_intent,0.5,0.5,0.5,0.2,0.42177340954886444
multilingual-e5-small,RQ-008,multi_intent,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-009,multi_intent,1.0,1.0,1.0,1.0,1.0
multilingual-e5-small,RQ-010,multi_intent,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-011,cross_reference,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-012,cross_reference,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-013,cross_reference,0.0,1.0,1.0,0.1111111111111111,0.3010299956639812
multilingual-e5-small,RQ-014,cross_reference,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-015,cross_reference,1.0,1.0,1.0,0.2,0.38685280723454163
multilingual-e5-small,RQ-016,procedure,1.0,1.0,1.0,0.3333333333333333,0.5
multilingual-e5-small,RQ-017,procedure,0.0,0.0,1.0,0.07692307692307693,0.0
multilingual-e5-small,RQ-018,procedure,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-019,procedure,1.0,1.0,1.0,1.0,1.0
multilingual-e5-small,RQ-020,procedure,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-026,ambiguous_short,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-027,ambiguous_short,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-028,ambiguous_short,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644
multilingual-e5-small,RQ-029,ambiguous_short,0.5,0.5,0.5,0.3333333333333333,0.3065735963827292
multilingual-e5-small,RQ-030,ambiguous_short,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-031,compound_action,1.0,1.0,1.0,0.3333333333333333,0.8868528072345416
multilingual-e5-small,RQ-032,compound_action,0.0,0.5,1.0,0.16666666666666666,0.21840743681816419
multilingual-e5-small,RQ-033,compound_action,0.0,0.5,1.0,0.14285714285714285,0.20438239758848611
multilingual-e5-small,RQ-034,compound_action,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-035,compound_action,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-036,vehicle_binding,0.5,0.5,0.5,0.25,0.2640681225725909
multilingual-e5-small,RQ-037,vehicle_binding,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-038,vehicle_binding,1.0,1.0,1.0,1.0,2.219741384391281
multilingual-e5-small,RQ-039,vehicle_binding,1.0,1.0,1.0,1.0,3.1078773827878683
multilingual-e5-small,RQ-040,vehicle_binding,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-001,simple_penalty,0.0,1.0,1.0,0.14285714285714285,0.3333333333333333
multilingual-e5-base,RQ-002,simple_penalty,0.0,1.0,1.0,0.1111111111111111,0.3010299956639812
multilingual-e5-base,RQ-003,simple_penalty,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-004,simple_penalty,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-005,simple_penalty,1.0,1.0,1.0,1.0,1.204382397588486
multilingual-e5-base,RQ-006,multi_intent,0.5,0.5,0.5,0.25,0.2640681225725909
multilingual-e5-base,RQ-007,multi_intent,0.5,0.5,0.5,0.5,0.5714285040141098
multilingual-e5-base,RQ-008,multi_intent,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-009,multi_intent,1.0,1.0,1.0,1.0,1.0
multilingual-e5-base,RQ-010,multi_intent,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-011,cross_reference,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-012,cross_reference,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-013,cross_reference,1.0,1.0,1.0,0.5,2.823817953697065
multilingual-e5-base,RQ-014,cross_reference,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-015,cross_reference,0.0,0.0,1.0,0.0625,0.0
multilingual-e5-base,RQ-016,procedure,1.0,1.0,1.0,1.0,1.0
multilingual-e5-base,RQ-017,procedure,0.0,1.0,1.0,0.1111111111111111,0.3010299956639812
multilingual-e5-base,RQ-018,procedure,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-019,procedure,1.0,1.0,1.0,0.3333333333333333,0.5
multilingual-e5-base,RQ-020,procedure,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-026,ambiguous_short,0.0,0.0,0.5,0.05263157894736842,0.0
multilingual-e5-base,RQ-027,ambiguous_short,0.0,0.0,1.0,0.0625,0.0
multilingual-e5-base,RQ-028,ambiguous_short,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.2960819109658652
multilingual-e5-base,RQ-029,ambiguous_short,0.5,0.5,0.5,1.0,0.6131471927654584
multilingual-e5-base,RQ-030,ambiguous_short,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-031,compound_action,1.0,1.0,1.0,1.0,1.3154648767857289
multilingual-e5-base,RQ-032,compound_action,0.0,0.5,0.5,0.14285714285714285,0.20438239758848611
multilingual-e5-base,RQ-033,compound_action,0.0,1.0,1.0,0.16666666666666666,0.6000291211906981
multilingual-e5-base,RQ-034,compound_action,0.5,0.5,0.5,0.2,0.23719771276929622
multilingual-e5-base,RQ-035,compound_action,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-036,vehicle_binding,0.0,0.0,0.5,0.05,0.0
multilingual-e5-base,RQ-037,vehicle_binding,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-038,vehicle_binding,1.0,1.0,1.0,1.0,2.4484591188793923
multilingual-e5-base,RQ-039,vehicle_binding,1.0,1.0,1.0,0.5,2.5227879580330836
multilingual-e5-base,RQ-040,vehicle_binding,0.0,0.0,0.0,0.0,0.0
