chunker,qid,category,latency_s,recall@5_khoan,recall@10_khoan,recall@20_khoan,mrr_khoan,ndcg@10_khoan,recall@5_doc,recall@10_doc,recall@20_doc,mrr_doc,ndcg@10_doc
hierarchical,RQ-028,ambiguous_short,0.7076819659996545,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,0.5,0.5,1.0,1.0,1.9055862927156413
hierarchical,RQ-029,ambiguous_short,0.7856981080039986,0.5,0.5,0.5,1.0,0.6131471927654584,1.0,1.0,1.0,1.0,2.205591442460341
hierarchical,RQ-030,ambiguous_short,0.7000630879992968,0.0,0.0,0.0,0.008333333333333333,0.0,1.0,1.0,1.0,0.25,1.0352062611770096
hierarchical,RQ-031,compound_action,0.7551334509989829,1.0,1.0,1.0,1.0,1.3868528072345416,1.0,1.0,1.0,1.0,3.687352150980324
hierarchical,RQ-032,compound_action,0.8353293079999276,0.0,0.0,0.5,0.05555555555555555,0.0,1.0,1.0,1.0,1.0,4.543559338088346
hierarchical,RQ-033,compound_action,0.7317039369954728,0.0,1.0,1.0,0.14285714285714285,0.39780880120575696,1.0,1.0,1.0,1.0,4.043559338088346
hierarchical,RQ-034,compound_action,0.7673590289996355,0.5,0.5,0.5,0.2,0.23719771276929622,0.5,0.5,0.5,1.0,2.274914659340938
hierarchical,RQ-035,compound_action,0.6732400760010933,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,2.7858706533121533
hierarchical,RQ-036,vehicle_binding,0.8567125840054359,0.0,0.0,0.0,0.017543859649122806,0.0,1.0,1.0,1.0,1.0,3.5257767772823465
hierarchical,RQ-037,vehicle_binding,0.895265097002266,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.543559338088346
hierarchical,RQ-038,vehicle_binding,0.8120091739983764,1.0,1.0,1.0,1.0,2.2461414348591218,1.0,1.0,1.0,1.0,4.543559338088346
hierarchical,RQ-039,vehicle_binding,0.3161587819995475,1.0,1.0,1.0,1.0,2.692888200125607,1.0,1.0,1.0,1.0,4.254494511770458
hierarchical,RQ-040,vehicle_binding,0.2997146400011843,0.0,0.0,0.0,0.03571428571428571,0.0,1.0,1.0,1.0,1.0,4.543559338088346
fixed_512,RQ-001,simple_penalty,1.591676573996665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,2.912629584516888
fixed_512,RQ-002,simple_penalty,0.5757289359971764,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.112882780014953
fixed_512,RQ-003,simple_penalty,1.2073764059969108,0.0,0.0,0.0,0.029411764705882353,0.0,1.0,1.0,1.0,1.0,4.242529342424365
fixed_512,RQ-004,simple_penalty,0.8116721970000071,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.543559338088346
fixed_512,RQ-005,simple_penalty,0.9742367129947525,0.5,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,3.255392401744885
fixed_512,RQ-006,multi_intent,0.49089538699627155,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,2.5971647077311593
fixed_512,RQ-007,multi_intent,0.4946151549956994,0.5,0.5,1.0,1.0,0.6131471927654584,1.0,1.0,1.0,1.0,3.3238179536970653
fixed_512,RQ-008,multi_intent,0.7076817749984912,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1111111111111111,0.3010299956639812
fixed_512,RQ-009,multi_intent,0.9366110679984558,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0070698857492903
fixed_512,RQ-010,multi_intent,1.3480344700001297,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,2.2367119509644584
fixed_512,RQ-011,cross_reference,0.7737135909992503,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.8366810130175852
fixed_512,RQ-012,cross_reference,0.9315190089982934,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.464084569895891
fixed_512,RQ-013,cross_reference,0.5091848640004173,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.8863221553163427
fixed_512,RQ-014,cross_reference,0.6573409960037679,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,2.566611708871935
fixed_512,RQ-015,cross_reference,1.1162429979958688,0.0,1.0,1.0,0.14285714285714285,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.8366810130175848
fixed_512,RQ-016,procedure,0.6742142400034936,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,2.184004471296072
fixed_512,RQ-017,procedure,1.2831886839994695,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.8562071871080221
fixed_512,RQ-018,procedure,0.163793309002358,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.1840044712960722
fixed_512,RQ-019,procedure,0.879970506997779,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.3562071871080222
fixed_512,RQ-020,procedure,0.7501059839996742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_512,RQ-026,ambiguous_short,0.47919063000153983,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,2.754494511770458
fixed_512,RQ-027,ambiguous_short,1.0761090200030594,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.6895405204413555
fixed_512,RQ-028,ambiguous_short,0.7370967120004934,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.3740368128767186
fixed_512,RQ-029,ambiguous_short,0.6138879859936424,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.608631366528106
fixed_512,RQ-030,ambiguous_short,1.0631467409984907,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,1.2461414348591218
fixed_512,RQ-031,compound_action,0.29781127000023844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.112882780014953
fixed_512,RQ-032,compound_action,0.7091184609962511,0.5,0.5,0.5,0.3333333333333333,0.3065735963827292,1.0,1.0,1.0,1.0,3.42499997711643
fixed_512,RQ-033,compound_action,0.6655091689972323,0.5,1.0,1.0,0.3333333333333333,0.6845756967795682,1.0,1.0,1.0,1.0,4.112882780014953
fixed_512,RQ-034,compound_action,1.0081151539998245,0.0,0.0,0.0,0.02631578947368421,0.0,0.5,1.0,1.0,0.5,1.19024790115594
fixed_512,RQ-035,compound_action,0.6263525639951695,0.0,0.0,0.0,0.047619047619047616,0.0,0.5,1.0,1.0,1.0,2.7858706533121533
fixed_512,RQ-036,vehicle_binding,0.9329072980035562,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,2.728094461302617
fixed_512,RQ-037,vehicle_binding,0.8352992929940228,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.7425293424243646
fixed_512,RQ-038,vehicle_binding,1.1941619850040297,1.0,1.0,1.0,0.2,0.38685280723454163,1.0,1.0,1.0,1.0,4.210226004755013
fixed_512,RQ-039,vehicle_binding,0.38776552700437605,1.0,1.0,1.0,0.3333333333333333,0.8868528072345416,1.0,1.0,1.0,1.0,4.112882780014953
fixed_512,RQ-040,vehicle_binding,0.48452463199646445,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.540211658404094
