model,qid,category,recall@5,recall@10,recall@20,mrr,ndcg@10
multilingual-e5-small,RQ-004,simple_penalty,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-005,simple_penalty,0.5,1.0,1.0,1.0,0.8065735963827293
multilingual-e5-small,RQ-006,multi_intent,0.0,0.0,0.5,0.0625,0.0
multilingual-e5-small,RQ-007,multi_intent,0.5,0.5,0.5,1.0,0.8772153153380493
multilingual-e5-small,RQ-008,multi_intent,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-009,multi_intent,1.0,1.0,1.0,1.0,1.0
multilingual-e5-small,RQ-010,multi_intent,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-011,cross_reference,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-012,cross_reference,0.0,0.0,1.0,0.0555555555555555,0.0
multilingual-e5-small,RQ-013,cross_reference,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-014,cross_reference,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-015,cross_reference,1.0,1.0,1.0,1.0,1.0
multilingual-e5-small,RQ-016,procedure,1.0,1.0,1.0,0.3333333333333333,0.5
multilingual-e5-small,RQ-017,procedure,1.0,1.0,1.0,0.2,0.3868528072345416
multilingual-e5-small,RQ-018,procedure,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-019,procedure,1.0,1.0,1.0,1.0,1.0
multilingual-e5-small,RQ-020,procedure,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-021,out_of_scope,1.0,1.0,1.0,0.0,0.0
multilingual-e5-small,RQ-022,out_of_scope,1.0,1.0,1.0,0.0,0.0
multilingual-e5-small,RQ-023,out_of_scope,1.0,1.0,1.0,0.0,0.0
multilingual-e5-small,RQ-024,out_of_scope,1.0,1.0,1.0,0.0,0.0
multilingual-e5-small,RQ-025,out_of_scope,1.0,1.0,1.0,0.0,0.0
multilingual-e5-base,RQ-001,simple_penalty,0.0,1.0,1.0,0.14285714285714285,0.3333333333333333
multilingual-e5-base,RQ-002,simple_penalty,0.0,1.0,1.0,0.1111111111111111,0.3010299956639812
multilingual-e5-base,RQ-003,simple_penalty,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-004,simple_penalty,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-005,simple_penalty,1.0,1.0,1.0,1.0,1.204382397588486
multilingual-e5-base,RQ-006,multi_intent,0.5,0.5,0.5,0.25,0.2640681225725909
multilingual-e5-base,RQ-007,multi_intent,0.5,0.5,0.5,0.5,0.5714285040141098
multilingual-e5-base,RQ-008,multi_intent,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-009,multi_intent,1.0,1.0,1.0,1.0,1.0
multilingual-e5-base,RQ-010,multi_intent,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-011,cross_reference,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-012,cross_reference,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-013,cross_reference,1.0,1.0,1.0,0.5,2.823817953697065
multilingual-e5-base,RQ-014,cross_reference,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-015,cross_reference,0.0,0.0,1.0,0.0625,0.0
multilingual-e5-base,RQ-016,procedure,1.0,1.0,1.0,1.0,1.0
multilingual-e5-base,RQ-017,procedure,0.0,1.0,1.0,0.1111111111111111,0.3010299956639812
multilingual-e5-base,RQ-018,procedure,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-019,procedure,1.0,1.0,1.0,0.3333333333333333,0.5
multilingual-e5-base,RQ-020,procedure,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-021,out_of_scope,1.0,1.0,1.0,0.0,0.0
multilingual-e5-base,RQ-022,out_of_scope,1.0,1.0,1.0,0.0,0.0
multilingual-e5-base,RQ-023,out_of_scope,1.0,1.0,1.0,0.0,0.0
multilingual-e5-base,RQ-024,out_of_scope,1.0,1.0,1.0,0.0,0.0
multilingual-e5-base,RQ-025,out_of_scope,1.0,1.0,1.0,0.0,0.0
multilingual-e5-base,RQ-026,ambiguous_short,0.0,0.0,0.5,0.05263157894736842,0.0
multilingual-e5-base,RQ-027,ambiguous_short,0.0,0.0,1.0,0.0625,0.0
multilingual-e5-base,RQ-028,ambiguous_short,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.2960819109658652
multilingual-e5-base,RQ-029,ambiguous_short,0.5,0.5,0.5,1.0,0.6131471927654584
multilingual-e5-base,RQ-030,ambiguous_short,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-031,compound_action,1.0,1.0,1.0,1.0,1.3154648767857289
multilingual-e5-base,RQ-032,compound_action,0.0,0.5,0.5,0.14285714285714285,0.20438239758848611
multilingual-e5-base,RQ-033,compound_action,0.0,1.0,1.0,0.16666666666666666,0.6000291211906981
multilingual-e5-base,RQ-034,compound_action,0.5,0.5,0.5,0.2,0.23719771276929622
multilingual-e5-base,RQ-035,compound_action,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-036,vehicle_binding,0.0,0.0,0.5,0.05,0.0
multilingual-e5-base,RQ-037,vehicle_binding,0.0,0.0,0.0,0.0,0.0
multilingual-e5-base,RQ-038,vehicle_binding,1.0,1.0,1.0,1.0,2.4484591188793923
multilingual-e5-base,RQ-039,vehicle_binding,1.0,1.0,1.0,0.5,2.5227879580330836
multilingual-e5-base,RQ-040,vehicle_binding,0.0,0.0,0.0,0.0,0.0
